Index,year,month,day,latitude,longitude,zon.winds,mer.winds,humidity,air temp.,predicted_s.s.temp.
0,1997,1,1,0.07,-110.0,-3.1,1.4,89.6,22.66,23.118933
1,1997,1,2,0.07,-110.0,-2.8,3.0,86.8,22.45,23.041748
2,1997,1,3,0.07,-110.0,-5.2,3.3,85.2,22.14,22.778263
3,1997,1,4,0.07,-110.0,-5.7,1.6,86.8,22.19,22.745409
4,1997,1,5,0.07,-110.0,-5.1,1.5,83.6,22.34,22.899548
5,1997,1,6,0.08,-110.0,-3.5,3.7,85.2,22.19,22.872564
6,1997,1,7,0.08,-110.0,-2.8,3.2,85.2,22.1,22.813522
7,1997,1,8,0.08,-110.0,-2.8,2.3,86.0,21.94,22.66776
8,1997,1,9,0.08,-110.0,-4.6,2.0,82.8,22.45,23.018845
9,1997,1,10,0.08,-110.0,-5.3,2.9,81.2,22.5,23.077158
10,1997,1,11,0.08,-110.0,-4.4,3.6,82.0,22.34,22.995064
11,1997,1,12,0.08,-110.0,-3.4,3.0,83.2,22.34,22.995642
12,1997,1,13,0.09,-110.0,-2.0,4.2,85.2,22.62,23.24872
13,1997,1,14,0.09,-110.0,-3.5,4.3,86.0,22.66,23.236408
14,1997,1,15,0.09,-110.0,-2.8,4.4,88.0,22.78,23.327374
15,1997,1,16,0.08,-110.0,-1.9,6.5,86.4,23.03,23.603928
16,1997,1,17,0.08,-110.0,-3.1,5.4,85.2,23.06,23.580204
17,1997,1,18,0.08,-110.0,-3.3,4.2,85.2,23.06,23.546207
18,1997,1,19,0.08,-110.0,-2.7,4.0,82.4,23.16,23.657488
19,1997,1,20,0.08,-110.0,-1.7,4.0,84.0,23.23,23.720757
20,1997,1,21,0.07,-110.0,-2.2,4.7,84.8,23.75,24.100834
21,1997,1,22,0.07,-110.0,-2.6,5.8,85.6,23.23,23.732594
22,1997,1,23,0.07,-110.0,-2.3,6.1,83.2,23.27,23.801329
23,1997,1,24,0.07,-110.0,-0.9,6.3,84.8,23.62,24.084593
24,1997,1,25,0.07,-110.0,-0.9,6.5,83.6,23.83,24.25614
25,1997,1,26,0.07,-110.0,-2.1,6.3,81.2,24.06,24.4141
26,1997,1,27,0.07,-110.0,-3.4,6.1,80.8,24.6,24.784391
27,1997,1,28,0.08,-110.0,-2.9,7.8,80.8,24.52,24.78724
28,1997,1,29,0.08,-110.0,-1.9,7.9,80.8,24.2,24.578773
29,1997,1,30,0.08,-110.0,-3.2,5.7,78.8,23.98,24.34623
30,1997,1,31,0.08,-110.0,-3.0,4.4,80.4,23.83,24.191292
31,1997,2,1,0.08,-110.0,-3.8,3.3,82.4,23.55,23.772274
32,1997,2,2,0.09,-110.0,-2.8,3.0,85.2,23.44,23.684328
33,1997,2,3,0.08,-110.0,-2.4,3.3,84.4,23.23,23.55849
34,1997,2,4,0.08,-110.0,-1.7,4.0,86.8,23.47,23.7487
35,1997,2,5,0.08,-110.0,-2.8,2.1,86.8,23.67,23.82017
36,1997,2,6,0.08,-110.0,-2.7,2.7,89.2,23.7,23.839008
37,1997,2,7,0.08,-110.0,-3.0,3.2,89.2,23.7,23.845736
38,1997,2,8,0.09,-110.0,-2.6,3.1,89.6,23.75,23.887127
39,1997,2,9,0.08,-110.0,-2.3,1.2,89.6,23.98,24.016905
40,1997,2,10,0.09,-110.0,-3.8,1.1,88.8,24.2,24.146578
41,1997,2,11,0.09,-110.0,-4.9,1.7,85.6,24.06,24.063656
42,1997,2,12,0.09,-110.0,-3.7,2.9,86.0,24.16,24.19838
43,1997,2,13,0.09,-110.0,-3.4,3.2,86.4,24.95,24.80173
44,1997,2,14,0.09,-110.0,-3.4,3.2,86.4,24.95,24.803637
45,1997,2,15,0.09,-110.0,-3.4,3.2,86.4,24.95,24.805536
46,1997,2,16,0.09,-110.0,-3.4,3.2,86.4,24.95,24.80744
47,1997,2,17,0.09,-110.0,-3.4,3.2,86.4,24.95,24.809345
48,1997,2,18,0.09,-110.0,-3.4,3.2,86.4,24.95,24.811247
49,1997,2,19,0.08,-110.0,-3.4,3.2,86.4,24.95,24.809404
50,1997,2,20,0.08,-110.0,-3.4,3.2,86.4,24.95,24.811306
51,1997,2,21,0.07,-110.0,-3.4,3.2,86.4,24.95,24.809458
52,1997,2,22,0.08,-110.0,-3.4,3.2,86.4,24.95,24.815111
53,1997,2,23,0.0,-110.0,-3.4,3.2,86.4,24.95,24.8077
54,1997,2,24,-0.01,-109.94,-5.4,2.9,83.3,25.45,25.145622
55,1997,2,25,-0.01,-110.0,-4.5,2.7,86.1,25.48,25.16124
56,1997,2,26,0.0,-110.0,-4.1,1.6,89.6,24.83,24.636255
57,1997,2,27,0.0,-110.0,-2.0,1.5,89.0,24.44,24.409386
58,1997,2,28,0.0,-110.0,-1.9,1.5,83.8,25.44,25.19357
59,1997,3,1,0.0,-110.0,-3.5,2.6,84.1,25.61,25.16295
60,1997,3,2,0.01,-110.0,-2.9,3.1,86.2,25.5,25.091753
61,1997,3,3,0.0,-110.0,-0.4,-0.5,90.9,24.33,24.166595
62,1997,3,4,0.0,-110.0,0.1,0.3,84.3,25.34,25.001806
63,1997,3,5,0.01,-109.94,0.1,2.7,83.7,26.0,25.554365
64,1997,3,6,0.01,-110.0,-0.8,2.5,82.9,26.1,25.610352
65,1997,3,7,0.01,-110.0,-3.3,3.0,85.7,25.8,25.311277
66,1997,3,8,0.01,-110.0,-3.5,2.0,87.2,25.5,25.048939
67,1997,3,9,0.01,-110.0,-2.4,1.6,86.1,25.8,25.298107
68,1997,3,10,0.01,-110.0,-3.1,-0.3,86.9,25.95,25.335693
69,1997,3,11,0.01,-110.0,-1.9,0.4,86.5,25.95,25.389503
70,1997,3,12,0.01,-110.0,-0.7,-1.7,85.2,26.33,25.664003
71,1997,3,13,0.01,-110.0,-3.3,-0.7,87.4,26.16,25.474506
72,1997,3,14,0.01,-110.0,-1.6,1.7,89.5,25.39,24.997557
73,1997,3,15,0.0,-110.0,-1.7,2.8,87.9,24.98,24.740648
74,1997,3,16,0.01,-110.0,0.9,2.5,87.8,25.55,25.217882
75,1997,3,17,0.01,-110.0,1.0,0.8,87.0,25.88,25.427807
76,1997,3,18,0.01,-110.0,0.1,-1.6,88.2,25.83,25.297367
77,1997,3,19,0.01,-110.0,0.0,1.9,83.9,25.06,24.863037
78,1997,3,20,0.01,-110.0,0.6,1.3,78.1,26.23,25.788828
79,1997,3,21,0.01,-110.0,1.2,0.5,76.4,26.69,26.14668
80,1997,3,22,0.0,-110.0,0.5,2.3,76.0,26.98,26.393812
81,1997,3,23,0.0,-110.0,-3.4,2.5,80.4,26.47,25.873281
82,1997,3,24,0.0,-110.0,-4.4,1.8,80.2,26.8,26.07958
83,1997,3,25,0.0,-110.0,-2.0,-0.5,81.3,26.36,25.744625
84,1997,3,26,0.0,-110.0,-3.6,1.5,82.9,26.2,25.620626
85,1997,3,27,0.0,-110.0,-3.5,0.4,84.1,26.17,25.561981
86,1997,3,28,0.01,-110.0,-1.1,0.9,82.0,26.39,25.8289
87,1997,3,29,0.0,-110.0,-1.1,1.0,80.3,26.69,26.071146
88,1997,3,30,0.01,-110.0,-2.2,2.6,79.6,27.06,26.373026
89,1997,3,31,0.01,-110.0,-2.3,2.8,82.6,26.66,26.04795
90,1997,4,1,0.01,-109.94,-3.1,1.6,82.9,26.86,25.993069
91,1997,4,2,0.01,-109.94,-4.4,-0.4,83.4,27.03,26.031282
92,1997,4,3,0.0,-109.94,-1.6,0.4,86.3,26.17,25.452028
93,1997,4,4,0.01,-110.0,-1.6,0.4,81.8,26.73,25.920809
94,1997,4,5,0.01,-110.0,-1.6,0.4,83.0,26.77,25.94026
95,1997,4,6,0.01,-110.06,-1.6,0.4,82.8,26.23,25.540707
96,1997,4,7,0.02,-110.0,-1.6,0.4,84.9,25.66,25.099314
97,1997,4,8,0.01,-110.0,-1.3,-0.1,85.0,25.31,24.838463
98,1997,4,9,0.01,-110.0,-3.1,-0.4,87.5,25.17,24.660742
99,1997,4,10,0.01,-110.0,-3.0,-0.6,89.6,25.08,24.574305
100,1997,4,11,0.0,-110.0,-4.1,-1.2,89.0,25.08,24.538988
101,1997,4,12,0.01,-110.0,-1.8,-0.4,88.2,25.25,24.75072
102,1997,4,13,0.01,-110.0,-1.1,1.5,88.0,24.97,24.615744
103,1997,4,14,0.01,-110.0,-1.3,0.2,85.9,25.69,25.12534
104,1997,4,15,0.01,-110.0,-2.2,2.0,86.5,26.02,25.38894
105,1997,4,16,-0.07,-109.94,-1.3,1.3,88.6,26.05,25.39954
106,1997,4,17,-0.08,-109.94,-1.3,1.3,86.8,26.17,25.506544
107,1997,4,18,-0.07,-109.94,1.1,0.3,84.8,25.9,25.3646
108,1997,4,19,-0.07,-109.94,0.0,5.4,83.9,26.56,25.959028
109,1997,4,20,-0.06,-109.94,-1.8,2.8,86.0,26.38,25.696575
110,1997,4,21,-0.07,-109.94,-3.0,2.8,80.7,26.45,25.76934
