Unnamed: 0,year,month,day,latitude,longitude,zon.winds,mer.winds,humidity,air temp.,predicted_s.s.temp.
0,1995,6,22,2.0,165.0,-3.3,-1.9,79.4,28.95,29.07856
1,1995,1,13,4.99,156.0,-3.5,-2.2,82.0,27.86,28.562727
2,1995,7,9,-4.97,-125.0,-8.2,1.5,84.2,26.02,25.599182
3,1996,7,17,8.01,165.0,-5.4,-1.0,84.1,28.38,28.798697
4,1993,8,23,2.06,165.0,2.0,0.6,75.4,28.47,29.212143
5,1993,7,14,-0.04,-170.0,-6.2,-1.0,75.5,28.98,28.702785
6,1995,8,13,-1.98,-155.0,-6.5,0.4,82.1,27.0,27.041212
7,1993,12,2,2.06,165.0,-6.5,0.4,75.4,29.56,29.350943
8,1994,5,2,-4.99,-95.0,-4.2,4.2,81.0,26.69,26.02699
9,1996,11,28,-4.99,-110.0,-5.5,1.5,82.1,22.94,22.829859
10,1996,8,4,2.06,-155.0,-4.0,2.7,82.1,26.16,26.446215
11,1981,10,26,-0.02,-94.94,-2.4,2.2,82.1,21.06,21.179419
12,1996,4,7,8.04,-170.0,-7.1,-4.4,77.7,27.48,27.718552
13,1985,11,22,-8.03,-109.94,-7.1,-4.4,77.7,23.33,23.41758
14,1988,7,19,8.99,-140.1,0.7,5.8,77.7,26.8,27.459553
15,1993,4,7,8.04,165.1,-4.6,-6.0,78.7,27.62,28.48897
16,1992,6,21,2.02,-110.06,-8.6,-0.6,75.4,26.69,26.330507
17,1981,1,29,0.0,-109.56,-1.9,3.0,75.4,23.25,23.74954
18,1993,4,20,-4.97,-140.0,0.6,-4.1,79.3,28.44,28.47466
19,1991,8,4,8.99,-140.2,-1.8,-1.1,84.4,27.12,27.56311
20,1993,6,11,2.09,165.0,2.0,-0.6,83.2,27.84,28.898304
21,1988,4,18,2.07,-110.1,-1.3,1.3,83.2,25.72,25.947664
22,1995,4,10,8.0,-170.0,-4.6,-1.3,82.7,27.94,28.022305
23,1993,7,12,-2.0,-94.94,-4.5,2.8,93.5,22.17,22.174894
24,1990,8,2,1.99,-110.1,-0.6,5.3,93.5,22.44,23.091164
25,1993,1,2,-4.97,-140.0,-5.6,-2.4,77.3,26.39,26.574083
26,1995,5,24,-1.94,164.4,5.5,4.0,79.7,27.81,29.161257
27,1988,1,21,2.0,-140.1,-4.9,2.9,79.7,26.38,26.570267
28,1991,8,21,-2.03,-109.94,-6.4,2.3,79.7,23.42,23.202341
29,1996,3,28,-2.0,-110.0,-1.7,-1.0,79.7,26.3,25.844397
30,1986,1,4,-8.03,-109.94,-1.7,-1.0,79.7,23.8,24.494173
31,1988,11,15,1.99,-110.1,-3.6,3.1,79.7,22.94,23.211138
32,1985,10,31,-0.02,-140.0,-6.5,2.6,79.7,22.94,23.190514
33,1993,5,15,7.96,-155.0,-5.4,-0.1,79.7,22.94,25.967443
34,1994,7,25,5.02,-140.0,-5.4,-0.1,79.8,27.31,27.602661
35,1995,3,9,5.04,-94.94,-1.4,0.7,87.1,25.94,27.184122
36,1995,7,30,-8.03,-95.06,-6.6,3.7,81.0,22.02,22.61219
37,1991,1,27,-5.04,-109.94,-7.2,3.6,81.0,24.55,24.913883
38,1988,1,30,-1.99,-140.0,-8.6,3.6,81.0,26.48,26.30755
39,1996,7,16,7.97,-155.0,-4.2,-1.8,84.8,26.75,27.679262
40,1993,6,4,-2.19,-170.0,-4.9,-2.6,81.3,29.12,29.081167
41,1996,7,2,4.98,-170.0,-2.6,0.0,88.1,27.83,28.52571
42,1991,9,11,-1.98,-140.0,-4.0,3.8,88.1,26.16,26.013676
43,1981,10,7,-0.02,-94.94,-3.3,5.9,88.1,21.55,21.519754
44,1993,12,12,4.97,137.0,-3.3,5.9,88.1,21.55,27.35079
45,1995,6,10,-1.99,-140.0,-4.2,-1.5,80.1,26.14,26.171873
46,1996,8,19,4.98,-169.9,-5.9,0.7,73.5,28.55,28.595524
47,1995,1,30,2.0,165.0,-3.8,-1.3,78.6,28.97,28.963419
48,1996,8,30,2.01,-179.8,-1.8,-1.5,78.6,28.2,28.68613
49,1987,4,1,0.0,-109.94,4.4,2.1,78.6,26.89,26.225977
50,1996,12,10,0.08,-110.0,-5.4,-0.6,89.6,21.12,20.850925
51,1996,2,11,-8.02,-95.1,-4.1,4.2,89.8,24.66,24.98196
52,1993,6,4,-7.97,-125.0,-8.1,0.2,89.8,24.66,24.980745
53,1994,12,20,4.95,137.0,3.0,1.7,82.8,27.58,28.922234
54,1995,12,8,-0.31,-96.06,-1.5,3.0,95.4,21.1,20.873201
55,1993,5,26,2.04,137.0,-2.7,-0.3,82.9,28.19,28.743933
56,1993,7,23,1.99,-140.0,-7.4,1.4,84.8,25.66,25.579641
57,1994,5,8,-2.0,-110.0,-5.1,-1.3,89.2,25.73,25.01484
58,1996,8,31,0.0,-179.9,-3.2,-0.5,74.8,27.31,28.06055
59,1996,10,17,-4.99,-139.9,-6.9,0.1,84.1,26.25,26.257221
60,1992,12,12,0.01,-155.0,-4.5,0.7,78.6,26.97,26.747545
61,1995,10,21,5.29,-124.9,-5.5,4.7,72.5,26.02,26.890543
62,1996,7,19,-0.2,-124.3,-7.0,1.3,80.5,25.16,24.529924
63,1988,3,1,-5.04,-109.8,-4.0,2.2,80.5,26.55,26.183088
64,1995,6,12,9.0,-140.2,-4.0,2.2,84.9,26.9,27.23091
65,1996,10,3,4.95,147.0,-0.9,1.0,73.8,28.56,29.142353
66,1993,8,10,-5.01,-155.0,-6.1,-1.5,68.0,28.0,27.992382
67,1993,11,10,-2.01,-110.0,-4.8,3.5,88.2,23.27,22.787127
68,1995,3,1,-8.27,-155.0,-4.6,0.2,83.8,27.4,28.124931
69,1993,6,21,-1.98,-140.0,-4.0,-2.7,85.5,27.55,27.210894
70,1996,3,30,0.01,-179.9,-5.8,-2.3,83.4,26.84,27.613485
71,1991,4,23,-0.01,-169.5,-6.4,0.6,83.4,26.84,27.27126
72,1995,6,11,-5.02,-95.1,-4.5,1.6,77.0,24.17,24.074606
73,1993,11,11,-4.97,-110.0,-7.0,1.9,76.7,24.62,23.994623
74,1994,4,17,8.05,-110.1,-5.5,-4.5,84.0,28.7,27.585016
75,1989,1,11,5.0,165.0,-6.2,1.3,84.0,27.83,28.498951
76,1993,9,9,-4.97,-179.9,-3.2,1.3,72.8,29.12,29.752121
77,1995,4,8,2.0,-140.0,-7.0,-1.9,83.0,27.89,27.411438
78,1995,6,23,6.68,137.6,-2.9,-0.2,83.0,28.52,28.793798
79,1994,10,12,-7.99,-125.0,-7.0,-0.1,73.6,25.9,25.850714
80,1995,1,11,-0.04,-170.0,-6.1,-2.6,81.3,29.34,28.94036
81,1990,11,20,-5.03,165.0,3.8,0.8,81.3,27.44,29.109098
82,1995,11,4,7.99,-179.9,1.4,0.5,79.2,27.44,29.000498
83,1996,7,28,-8.03,164.9,-3.1,2.1,79.6,28.31,29.336357
84,1993,12,23,9.01,-140.2,-3.6,-6.1,81.6,27.38,27.937475
85,1996,1,13,2.0,147.0,-3.6,-6.1,79.3,28.08,28.592999
86,1994,7,8,-4.99,-95.0,-3.9,2.7,83.8,22.98,23.077894
87,1995,2,14,0.01,-140.0,-6.1,0.2,86.6,25.66,25.62274
88,1994,8,23,-4.98,-179.9,-6.1,0.2,73.8,29.4,29.777466
89,1994,7,9,-4.98,-139.9,-5.9,-1.3,85.8,26.36,26.46772
90,1993,2,1,-0.04,-95.0,-1.9,0.8,85.8,23.44,23.625765
91,1994,11,28,0.34,-95.2,-3.4,6.8,86.2,23.55,23.18461
92,1996,6,27,5.0,137.0,1.7,1.5,86.2,28.4,28.911337
93,1993,1,6,0.03,-140.0,-7.6,-0.7,86.2,25.56,25.422152
94,1991,2,28,5.04,-140.0,-5.4,0.6,84.8,27.56,27.24718
95,1996,1,22,1.97,-125.3,-4.6,4.4,83.9,24.69,25.387278
96,1995,4,25,-4.98,165.1,2.8,3.4,78.6,29.61,29.545408
97,1996,4,9,-1.99,-124.94,-4.9,-0.9,94.0,26.6,26.054024
98,1990,11,10,-1.97,-111.5,-6.0,3.6,94.0,23.17,22.631708
99,1992,12,11,2.03,137.0,-6.0,3.6,82.0,28.48,28.975565
100,1996,1,7,-0.02,-170.0,-8.8,-2.1,73.0,26.25,26.639214
101,1993,10,30,7.99,-125.0,-3.6,6.3,79.2,27.55,27.699844
102,1994,7,24,-4.99,-124.9,-6.2,3.6,79.7,25.48,25.346218
103,1994,5,22,2.0,-179.9,-4.1,2.9,83.9,28.2,28.611763
104,1995,8,5,6.69,137.5,3.0,1.7,83.9,28.83,29.07616
105,1989,4,25,0.0,-110.1,-4.4,-0.4,83.9,25.06,24.582565
106,1993,5,20,-8.28,-155.0,-6.4,1.2,81.4,29.27,29.342442
107,1996,10,22,-5.0,-110.0,-6.5,1.5,84.0,22.78,22.708284
108,1986,7,30,2.15,-110.25,-6.5,1.5,84.0,23.36,23.814028
109,1988,12,31,-0.07,-110.0,-2.9,1.8,84.0,20.9,20.886242
110,1996,4,30,-1.99,-124.94,-6.0,2.6,86.9,27.06,26.351143
111,1995,3,8,-1.94,164.4,5.4,-0.2,79.8,28.42,29.164003
112,1987,10,31,2.03,165.0,-0.8,0.2,79.8,28.62,29.115488
113,1995,5,20,-8.05,-109.94,-5.8,0.1,74.7,26.31,25.987837
114,1996,7,21,0.0,165.0,-2.5,-2.2,73.9,27.48,28.874084
115,1993,3,4,8.0,-170.0,-7.8,-4.0,82.0,27.47,27.53703
116,1991,12,21,8.01,165.0,-8.4,-5.2,82.0,27.62,28.572145
